# Pin Out For MachXO5-NX 25K,,,,,,,,,
# Revision 0.90,,,,,,,,,
"# Revised May, 5, 2022",,,,,,,,,
# Initial release based on PKT ver7,,,,,,,,,
# Revision 1.00,,,,,,,,,
"# Revised May, 21, 2023",,,,,,,,,
# Final release,,,,,,,,,
,,,,,,,,,
PADN,Pin/Ball Function,CUST_NAME,BANK,DQS,Dual Function,LVDS,HIGHSPEED,BBG400,BBG256
760,PT36A,-,1,-,OSC_BURST,True_OF_PT36B,-,A12,E9
761,PT36B,-,1,-,-,Comp_OF_PT36A,-,B12,F9
766,PT35A,-,1,-,OSC_HI,True_OF_PT35B,-,G11,C9
767,PT35B,-,1,-,-,Comp_OF_PT35A,-,H11,D9
770,PT34A,-,1,-,-,True_OF_PT34B,-,E11,A9
771,PT34B,-,1,-,-,Comp_OF_PT34A,-,F11,B9
775,PT33A,-,1,-,-,True_OF_PT33B,-,C11,B8
776,PT33B,-,1,-,-,Comp_OF_PT33A,-,D11,A8
781,PT32A,-,1,-,-,True_OF_PT32B,-,A11,D8
782,PT32B,-,1,-,-,Comp_OF_PT32A,-,B11,C8
784,PT31A,-,0,-,-,True_OF_PT31B,-,B9,-
785,PT31B,-,0,-,-,Comp_OF_PT31A,-,A9,-
788,PT30A,-,0,-,-,True_OF_PT30B,-,G9,-
789,PT30B,-,0,-,-,Comp_OF_PT30A,-,F9,-
795,PT29A,-,0,-,-,True_OF_PT29B,-,H8,-
796,PT29B,-,0,-,-,Comp_OF_PT29A,-,H9,-
798,PT24A,-,0,-,-,True_OF_PT24B,-,B8,-
799,PT24B,-,0,-,-,Comp_OF_PT24A,-,A8,-
802,PT23A,-,0,-,-,True_OF_PT23B,-,D8,F8
803,PT23B,-,0,-,-,Comp_OF_PT23A,-,C8,E8
806,PT22A,-,0,-,-,True_OF_PT22B,-,E7,B7
807,PT22B,-,0,-,-,Comp_OF_PT22A,-,E8,A7
811,PT21A,-,0,-,PCLKT0_1,True_OF_PT21B,-,G8,C6
812,PT21B,-,0,-,-,Comp_OF_PT21A,-,F8,B6
816,PT20A,-,0,-,PCLKT0_0 ,True_OF_PT20B,-,B7,E6
817,PT20B,-,0,-,-,Comp_OF_PT20A,-,A7,D6
820,PT19A,-,0,-,-,True_OF_PT19B,-,G7,-
821,PT19B,-,0,-,-,Comp_OF_PT19A,-,F7,-
824,PT18A,-,0,-,-,True_OF_PT18B,-,B6,-
825,PT18B,-,0,-,-,Comp_OF_PT18A,-,A6,-
829,PT17A,-,0,-,-,True_OF_PT17B,-,D6,-
830,PT17B,-,0,-,-,Comp_OF_PT17A,-,C6,-
833,PT16A,-,0,-,-,True_OF_PT16B,-,F6,-
834,PT16B,-,0,-,-,Comp_OF_PT16A,-,E6,-
842,PT15A,-,0,-,-,True_OF_PT15B,-,C5,A5
843,PT15B,-,0,-,-,Comp_OF_PT15A,-,B5,A6
846,PT14A,-,0,-,-,True_OF_PT14B,-,E5,C5
847,PT14B,-,0,-,-,Comp_OF_PT14A,-,D5,B5
853,PT13A,-,0,-,-,True_OF_PT13B,-,E4,E5
854,PT13B,-,0,-,-,Comp_OF_PT13A,-,F5,D5
856,PT12A,-,0,-,-,True_OF_PT12B,-,B4,B4
857,PT12B,-,0,-,-,Comp_OF_PT12A,-,A5,A4
862,PT11A,-,0,-,-,True_OF_PT11B,-,B3,D3
863,PT11B,-,0,-,-,Comp_OF_PT11A,-,A4,E4
866,PT10A,-,0,-,-,True_OF_PT10B,-,D3,C3
867,PT10B,-,0,-,-,Comp_OF_PT10A,-,C3,B3
873,PT9A,-,0,-,-,True_OF_PT9B,-,A2,A2
874,PT9B,-,0,-,-,Comp_OF_PT9A,-,A3,A3
877,PT8A,-,0,-,-,True_OF_PT8B,-,C2,C2
878,PT8B,-,0,-,-,Comp_OF_PT8A,-,B2,B2
0,VSS,-,99,-,-,-,-,A20,A16
0,VSS,-,99,-,-,-,-,Y20,T16
0,VSS,-,99,-,-,-,-,F18,G15
0,VSS,-,99,-,-,-,-,H18,F14
